factory_name,product_type,nike_inc_brands,events,address,city,state,postal_code,country,operating_region,total_workers,line_workers,percent_female_workers,percent_migrant_workers,contact_name,contact_phone,contact_fax,contact_email,subcons,serialid
DELTA SOCKS LTD.,EQUIPMENT,NIKE,,INDUSTRIAL ZONE,KARMIEL,KARMIEL,20100,ISRAEL,Central and Eastern Europe,358,179,53,0,,,,,"DELTA TEXTILE BULGARIA LTD., Gelal Corap San. ve Tic. A.S.",111
DELTA TEXTILE BULGARIA LTD.,EQUIPMENT,"NIKE, CONVERSE",College,44 TUTRAKAN BLVD;,ROUSSE,,7000,BULGARIA,Emerging Markets,577,553,75,0,Leslie Shull,9.72548E+11,,leslie.shull@deltagalil.com,,112
DER WILL S.A.,EQUIPMENT,NIKE,,ESTEBAN ECHEVERRIA 3250-DON TORCUATO,BUENOS AIRES,BUENOS AIRES,1611,ARGENTINA,Emerging Markets,94,85,42,16.5,,,,,,113
DESIGN INK. - DBA ELLISON ADVERTISING,APPAREL,NIKE,College,3408 S. E. 20TH. AVENUE,PORTLAND,OREGON,97202,USA,North America,7,4,33,0,Robert Ellison,503-236-8400,503-236-8487,bob@ellisonadvertising.com,,114
DEWHIRST SHANTA,APPAREL,NIKE,,PLOT #156+77 DHAKA EPZ,DHAKA,BANGLADESH,,BANGLADESH,Emerging Markets,2745,2382,53,0,,,,,,115
"DIACO INTERNACIONAL, S.A. DE C.V.",APPAREL,"NIKE, HURLEY",,"PARCELA 17, Z1, P-1  EX EJIDO CHAPULTEPEC",ENSENADA,BAJA CALIFORNIA,22785,MEXICO,Emerging Markets,1215,980,59,0,,,,,,116
DIAMANT SRL,FOOTWEAR,NIKE,,VIALE DEL LAVORO 8,SORGA,VERONA,37060,ITALY,Western Europe,197,154,66,0,,,,,,117
DIAMANT SRL #2,FOOTWEAR,NIKE,,"VIA GIORGIO PERLASCA, 6/B",MONTEBELLUNA,VENETO,31044,ITALY,Western Europe,40,36,65,0,,,,,,118
DIGITAL FLEXO SERVICES. LLC,EQUIPMENT,NIKE,,4350-J INTERNATIONAL BLVD.,NORCROSS,GA,30093,USA,North America,6,3,35,0,,,,,,119
DISTRIBUIDORA MOYEL S.S DE C.V.,APPAREL,HURLEY,,AV. CAMINO DE LAS PARTIDAS#18,LERMA DE VILLADA,ESTADO DE MEXICO,52000,MEXICO,Emerging Markets,746,529,30,0,,,,,,120
DM LANKA HOLDING (PVT) LTD.,APPAREL,NIKE,,ISURU UYANA,MIHINTALE,,,SRI LANKA,Emerging Markets,892,773,86,0,,,,,,121
DOMINAE SRL,APPAREL,CONVERSE,,VIALE DELLE INDUSTRIE 43,DOSSON DI CASIER,TV,31030,ITALY,Western Europe,8,6,90,0,,,,,,122
DONA ORIENT VIETNAM,FOOTWEAR,NIKE,,"SONG MAY INDUSTRIAL ZONE, TRANG BOM DISTRICT, DONG NAI PROVINCE",DONG NAI,DONG NAI,61,VIETNAM,Emerging Markets,9257,9054,69,0,,,,,,123
"DONA PACIFIC VIETNAM  CO., LTD.",FOOTWEAR,NIKE,,SONG MAY INDUSTRIAL ZONE; BAC SON VILLIAGE; TRANG BOM DISTRICT;,DONG NAI,DONG NAI  PROVINCE,61,VIETNAM,Emerging Markets,8097,6986,67,0,,,,,,124
"DONA STANDARD FOOTWEAR CO., LTD",FOOTWEAR,NIKE,,"XUAN LOC INDUSTRY PARK, XUAN LOC DISTRICT",DONG NAI,DONG NAI,84,VIETNAM,Emerging Markets,11324,9894,72,0,,,,,,125
"DONA VICTOR FOOTWEAR CO., LTD",FOOTWEAR,NIKE,,"SONG MAY INDUSTRIAL ZONE, BAC SON VILLAGE",TRANG BOM DISTRICT,DONG NAI,084-061,VIETNAM,Emerging Markets,9253,8090,70,0,,,,,"Dona Pacific Vietnam  Co., Ltd., Dona Standard Footwear Co., Ltd",126
DONG CHONG CHONG MING GLOVE FACTORY,EQUIPMENT,NIKE,College,"NO. 2, JIXIANG DONG ROAD, LIYE INDUSTRIAL PARK, DONG CHONG TOWN, PAN YU DISTRICT",GUANGZHOU,GUANGDONG,511453,CHINA,Greater China,436,382,87,0,Nelson Kwok,(86) 20- 84905386-288,020-84905621,nelson.kwok@amlgroup.com.hk,,127
"DONG GUAN GOLDENPRENE SPORTING GOODS CO., LTD.",EQUIPMENT,"NIKE, CONVERSE, HURLEY",College,(GUANG DER CORPORATION LTD /SUMMITOP INDUSTRIAL),"LIAOBU TOWN, DONGGUAN",GUANGDONG,523405,CHINA,Greater China,2500,2156,55,0,Charles Shang,(86)769 83283992,,charles@summitop.com.cn,,128
DONG GUAN STELLA,FOOTWEAR,NIKE,,HOU DA ROAD. DA LING MANAGEMENT DISTRICT,DONGGUAN,GUANGDONG,523835,CHINA,Greater China,12219,10235,78,0,,,,,,129
"DONG YANG QUALITY WORLDWIDE APPAREL CO., LTD.",APPAREL,"CONVERSE, HURLEY",,NO. 9 WEST JIALUN ROAD,DONGYANG,ZHEJIANG,322100,CHINA,Greater China,79,65,75,0,,,,,,130
DONGGUAN BACUI KNITWEAR CO LTD,APPAREL,"NIKE, CONVERSE",College,"JIN MEI VILLAGE, CHANG PING TOWN, DONGGUAN CITY, GUANGDONG PROVINCE, CHINA 523579",DONGGUAN,GUANGDONG,523579,CHINA,Greater China,520,444,65,0,Phianna Chow,852-23240211,852-23523289,phi@kentknit.com," Golf Sales West, Inc.",131
DONGGUAN DONGCHENG JIAWEN GARMENT FACTORY,APPAREL,HURLEY,,"WENTANG INDUSTRAIL ZONE, DONGCHENG",DONGGUAN,GUANGDONG,86-769-2226 7333,CHINA,Greater China,188,129,55,0,,,,,,132
"DONGGUAN METEK INDUSTRIAL CO., LTD.",EQUIPMENT,NIKE,,"NO.3, HONG SHAN 1ST STREET, HUA YUAN ROAD",DONG GUAN CITY,GUANGDONG,523850,CHINA,Greater China,195,150,49,0,,,,,,133
"DONGGUAN PARK SPORT PRODUCTS CO. ,LTD",EQUIPMENT,"NIKE, CONVERSE",,"NO.42, HUAN-SHI S. ROAD, TANGXIA",DONGGUAN,GUANGDONG,523726,CHINA,Greater China,260,210,70,0,,,,,,134
"DONGGUAN PERFECT FASHION CO., LTD",APPAREL,HURLEY,,SHANXIA DEVELOPMENT INDUSTRIAL AREA HENGLI TOWN,DONGGUAN,GUANGDONG,523460,CHINA,Greater China,103,90,53,0,,,,,,135
"DONGGUAN XIANDA APPAREL CO., LTD",APPAREL,HURLEY,,"FUSHEN ROAD, YANGWU VILLAGE",DONGGUAN CITY,GUANGDONG,10000,CHINA,Greater China,396,278,51,0,,,,,,136
DONGJIN TEXTILE,FOOTWEAR,NIKE,,"940-29,YELIM-RI,",GIJANG-GUN,BUSAN,0,SOUTH KOREA,Emerging Markets,63,52,60,21.2,,,,,,137
DRASTOSA  S.A  INDS TEXTEIS,APPAREL,NIKE,,"RUA LUIZ GATTI, 603",SÃƒO PAULO,SÃƒO PAULO,05038-150,BRAZIL,Emerging Markets,680,545,71,1.5,,,,,Blusas Kirby Industria e ComÃ©rcio Ltda,138
DUCK SAN TEXTILE,FOOTWEAR,NIKE,,"#19, MARUDEUL-GIL 35BEON-GIL, OPO-EUP,",GWANGJU-SI,GYEONGGI-DO,0,SOUTH KOREA,Emerging Markets,84,37,23,16.2,,,,,,139
DYNAMIC SPORTSWEAR (PVT) LTD.,EQUIPMENT,CONVERSE,,"MAIN CANAL BANK,",LAHORE,PUNJAB,,PAKISTAN,Emerging Markets,885,785,10,0,,,,,,140
DYNAMIC TEAM SPORTS,APPAREL,NIKE,College,1870 BIRCHMOUNT RD,TORONTO,ONTARIO,M1P 2J7,CANADA,North America,140,118,75,0,Jim Walker,416-496-8600,,jim@dynamicteamsports.com,,141
"E-TOP (VIETNAM) CO.,LTD",APPAREL,NIKE,,LOT VII-2,BA RIA-VUNG TAU,BA RIA-VUNG TAU,795650,VIETNAM,Emerging Markets,1926,1831,97,0,,,,,Spring Printing Co Ltd,142
EAGLE NICE (DEVELOPMENT) LTD.,APPAREL,NIKE,College,NO.48 HENG SHAN RD,SHANTOU,GUANGDONG,515041,CHINA,Greater China,2000,1500,70,0,Ellie Sun,0754-88788188,0754-88785608,shimin_sun@eaglenice.cn,,143
"EAGLE NICE (YIFENG) GARMENTS CO., LTD",APPAREL,NIKE,,"INDUSTRIAL DISTRICT, YIFENG CITY",YIFENG,JIANGXI,EAG01,CHINA,Greater China,1953,1819,93,0,,,,,,144
EANDL GROUP,APPAREL,NIKE,,30 GREEN STREET,MELBOURNE,VICTORIA,3074,AUSTRALIA,Emerging Markets,19,17,85,0,,,,,,145
EAST WIND FOOTWEAR COMPANY LIMITED (INDIA BRANCH),FOOTWEAR,CONVERSE,,"PLOT NO.3D, SIPCOT INDUSTRIAL PARK, MATHUR MANGAL VILLAGE",CHENNAI,CHENNAI,631701,INDIA,Emerging Markets,3358,2590,69,0,,,,,"Feng Tay Enterprise Co., Ltd, PT. Feng Tay Indonesia Enterprises",146
"ECLAT TEXTILE CO., LTD",APPAREL,NIKE,,"5A ROAD, NHON TRACH 2 INDUSTRIAL ZONE",DONG NAI,DONG NAI,61,VIETNAM,Emerging Markets,5600,4900,90,0,,,,,"E-Top (Vietnam) Co.,Ltd",147
EDSON LUIZ THOMAS ME,FOOTWEAR,NIKE,,"RUA SETE DE SETEMBRO,  68",SANTA CLARA DO SUL,RIO GRANDE DO SUL,95915-000,BRAZIL,Emerging Markets,102,100,81,0,,,,,,148
EL BARON,APPAREL,NIKE,College,"ZONA LIBRE EL CARMEN, COLONIA UNIVERSAL SEGUN CALLLE CARRETERA VIEJA A LA LIMA",SAN PEDRO SULA,CORTES,,HONDURAS,Emerging Markets,1502,800,53,1,Peter Potteiger,(504) 2557-9620,(504) 2557-8222,pete@nhapparel.com,,149
ELTA COMPANY LIMITED,APPAREL,NIKE,,511 LADKRABANG ROAD,LADKRABANG,BANGKOK,10520,THAILAND,Emerging Markets,260,225,74,0,,,,,,150
"ENDO MANUFACTURING CO.,LTD",EQUIPMENT,NIKE,,"987, HIGASHI-OTA",TSUBAME,NIIGATA,959-1289,JAPAN,Japan,144,76,20,0,,,,,,151
"ENDO THAI CO.,LTD.",EQUIPMENT,NIKE,,"211 MOO 4, LADKRABANG INDUSTRIAL ESTATE, CHALONGKRUNG RD.",BANGKOK,BANGKOK,10520,THAILAND,Emerging Markets,1220,1147,76,0,,,,,,152
ERATEKS TESTIL SANAY? TICARET  AS,APPAREL,NIKE,,FATSA ORGANIZE SANAYI BOLGESI,ORDU,BURSA,52400,TURKEY,Central and Eastern Europe,295,281,67,0,,,,,,153
ESFERA (JANAINA LOCCI),APPAREL,"NIKE, HURLEY",,AV. INDUSTRIAL 1586,JOSE BONIFACIO,SAN PAULO BRAZIL,15200-000,BRAZIL,Emerging Markets,90,82,90,0,,,,,,154
GAOQUAN INDUSTRIAL ( XIAMEN) CO. LTD,EQUIPMENT,CONVERSE,,NO.901-7 DONGLIN ROAD,XIAMEN,FUJIAN,361021,CHINA,Greater China,186,160,60,0,,,,,,155
"ESQUEL GARMENT MANUFACTURING (VIETNAM) CO., LTD",APPAREL,NIKE,College,"09 VSIP STREET 05, VIETNAM SINGAPORE INDUSTRIAL PARK",THUAN AN,BINH DUONG,7000,VIETNAM,Emerging Markets,5109,4582,76,0,MARJORIE YANG,852 2811  8077,852 2811  9001,margieyang@esquel.com,,156
ETF TEKSTIL KONF. IHRACAT SAN.TIC.A.S.,APPAREL,"NIKE, CONVERSE",,TEPEOREN MAH.,ISTANBUL,TUZLA,34959,TURKEY,Central and Eastern Europe,452,363,48,0,,,,,,157
EURO CLOTHING COMPANY,APPAREL,"NIKE, HURLEY",,"122/1, DODDABIDAREKALLU VILLAGE",BANGALORE,KARNATAKA,560 073,INDIA,Emerging Markets,1189,798,86,0,,,,,,158
EUROCAP,APPAREL,NIKE,,EDISONWEG 6,WOERDEN,,3442 AC,NETHERLANDS,Western Europe,22,8,35,0,,,,,,159
EVER TECH,FOOTWEAR,NIKE,,PHUOC HAI WARD,TAN UYEN DISTRICT,BINH DUONG PROVINCE,0,VIETNAM,Emerging Markets,885,820,41,0,,,,,,160
EVERGREEN APPAREL MFG.,APPAREL,NIKE,College,845 NW 231ST AVE.,HILLSBORO,OREGON,97124,USA,North America,25,20,86,0,David Messinger,503-746-3809,503-615-3197,davomess@gmail.com,,161
EVOLUCAO TEXTIL,APPAREL,HURLEY,,#76 R ELSA METTE,BLUMENAU,SC,89065-132,BRAZIL,Emerging Markets,29,20,86,0,,,,,,162
EYECATCHER,APPAREL,NIKE,,A. HOFMANWEG 39-A,HAARLEM,,2031 BH,NETHERLANDS,Western Europe,9,6,15,0,,,,,,163
FAR EASTERN APPARAL (SUZHOU) LTD. CO,APPAREL,NIKE,College,#88 TIANLING ROAD WUZHONG DEVELOPMENT DISTRICT,SUZHOU,JIANGSU,215128,CHINA,Greater China,1342,1035,90,0,Chunping Yao,0512-65621888-1532,,chunping.yao@feasz.com,,164
FAR EASTERN APPAREL (VIETNAM) LIMITED,APPAREL,"NIKE, CONVERSE, HURLEY",College,"NO. 46, DAI LO TU DO VIETNAM SINGAPORE INDUSTRIAL PARK",THUAN AN,BINH DUONG,,VIETNAM,Emerging Markets,3711,2101,82,98.1,MARY LE,84-6503782260-1210,,maryle@feavn.com.vn,,165
"FASHION GARMENTS LTD., UNIT 1",APPAREL,"NIKE, HURLEY",,"ROAD 3, BIEN HOA INDUSTRY ZONE 1",BIEN HOA,DONG NAI,71000,VIETNAM,Emerging Markets,691,627,91,0,,,,,,166
"FASHION GARMENTS LTD., UNIT 2",APPAREL,"NIKE, HURLEY",,"ROAD 13A, BIEN HOA INDUSTRY ZONE 2, BIEN HOA CITY, DONG NAI PROVINCE",BIEN HOA,DONG NAI,7100,VIETNAM,Emerging Markets,1884,1643,86,0,,,,,,167
FAST TRACK TEXTILE LIMITED LIABILITY COMPANY,APPAREL,"NIKE, CONVERSE",,PRIDON STREET NO: 368  KHELVACHAURI,BATUMI,ADJARA,0,GEORGIA,Central and Eastern Europe,173,162,88,0,,,,,,168
"FENG TAY ENTERPRISE CO., LTD",FOOTWEAR,"NIKE, CONVERSE",College,"NO. 52 KEGONG 8TH RD.,",DOU LIOU,YUNLIN COUNTY,64064,TAIWAN,Greater China,2145,380,50,0,Beatty Chang,886-5-5379100,886-5-5379105,beatty.chang@fengtay.com,,169
FENGTAY GROUP,EQUIPMENT,NIKE,College,666 SHI PING ROAD,TOULIO,YUNLIN,640,TAIWAN,Greater China,314,139,40,0,Alice Chiang,05-5514141,,alice.chiang@fengtay.com,,170
FIBRAN CIA. LTDA.,APPAREL,NIKE,,PANAMERICANA NORTE KM 5 1/2,QUITO,PICHINCHA,,ECUADOR,Emerging Markets,956,774,47,0.3,,,,,,171
FITA TEKSTIL SAN. TIC. LTD. STI.,APPAREL,"NIKE, CONVERSE",,PANAYIR MAHALLESI SELVILI SOKAK NO:55,BURSA,BURSA,0,TURKEY,Central and Eastern Europe,351,311,15,0,,,,,,172
"FJORD, LTD.",APPAREL,NIKE,College,3099 N.PACIFIC HIGHWAY. SUITE 100,WOODBURN,OREGON,97071,USA,North America,148,124,84,0,Jon Dversdal,503-981-2345,503-981-1814,jon@fjordltd.com,,173
FLECKSTEEL INDUSTRIA DE ARTEFATOS METALICOS LTDA,FOOTWEAR,NIKE,,"AV CARLOS STRASSBURGER FILHO, 5370-5",CAMPO BOM,RIO GRANDE DO SUL,93700-000,BRAZIL,Emerging Markets,70,64,69,0,,,,,,174
"FLEXFIT,LLC/YUPOONG-DHAKAREA LTD.",EQUIPMENT,HURLEY,,DHAKA EXPORT PROCESSING ZONE(EXTENSION ZONE),SAVAR,DHAKA,1349,BANGLADESH,Emerging Markets,3478,3165,78,0,,,,,,175
"FLEXTRONICS MANUFACTURING (ZHUHAI) CO, LTD",EQUIPMENT,NIKE,,XIN QING SCIENCE & TECHNOLOGY INDUSTRIAL PARK,ZHUHAI,GUANGDONG,519180,CHINA,Greater China,511,413,45,93.5,,,,,,176
FLOURISH OPTICAL MANUFACTORY (SHENZHEN) LIMITED,EQUIPMENT,CONVERSE,,"NO.16 JIN CHENG LU, CENTRAL VILLAGE,",SHENZHEN,GUANGDONG,,CHINA,Greater China,314,289,45,0,,,,,,177
FOLGORE SNC,APPAREL,CONVERSE,,VIA PIANI Dâ€™ETE 6,MOGLIANO (MC),,62010,ITALY,Western Europe,5,3,100,0,,,,,,178
FORMOSA INDONESIA COMPANY LIMITED,EQUIPMENT,NIKE,,JL. RAYA SEMARANG-PUWODADI KM. 26.5,SEMARANG,JAKARTA,58165,INDONESIA,Emerging Markets,416,360,80,0,,,,,,179
FORMOSA LUGGAGE MANUFACTURING CO.LTD.,EQUIPMENT,NIKE,,"HONGMING ROAD, HUSHAN VILLAGE",HUIZHOU,GUANGDONG,516127,CHINA,Greater China,398,250,50,0,,,,,,180
"FRAMA Y SAGO, S.L./TORRATOX S.L",APPAREL,NIKE,,"C/ PALLARS, 65-71 08018","BARCELONA, CATALUNIA",,,SPAIN,Western Europe,6,5,60,0,,,,,,181
FRAMAS KOREA,FOOTWEAR,NIKE,,"120-2, UNYONG-RI, DOONPO-MYUN,",ASAN,CHOONGNAM,336-875,SOUTH KOREA,Emerging Markets,159,117,16,15.4,,,,,,182
"FRAMAS KOREA VINA CO., LTD",FOOTWEAR,NIKE,,"WORKSHOP#2~4, LONGTHANH I.P, LONGTHANH DISTRICT",,DONG NAI,815300,VIETNAM,Emerging Markets,500,408,38,0,,,,,,183
FREETREND VN INDUSTRIAL CO.LTD.,FOOTWEAR,NIKE,College,"SAIGON LINH TRUNG EXPORT PROCESSING ZONE, THU DUC",HO CHI MINH,,84-083,VIETNAM,Emerging Markets,19860,17721,87,0,James Huang,(84)839875025,(84)838974987,james@deanshoes.com,"Ever Tech, Framas Korea",184
FU SON GARMENT FACTORY,APPAREL,NIKE,,NO.123 AVENIDA ALMIRANTE LACERDA,MACAU,,,MACAU (CHINA),Emerging Markets,219,163,81,85.9,,,,,,185
"FUJIAN FUTIAN GARMENTS CO., LTD.",APPAREL,"NIKE, CONVERSE, HURLEY",,"NO.3, JINPUZHI ROAD, GAISHAN TOWN, CHANGSHAN",FUZHOU,FUJIAN,350007,CHINA,Greater China,983,801,32,0,,,,,,186
"FUJIAN LIFENG FOOTWEAR CO., LTD.",FOOTWEAR,NIKE,,"NO.888# QINXI NORTH STREET, WUTANG TOWN",PUTIAN,FUJIAN,351119,CHINA,Greater China,5094,4379,74,0,,,,,,187
"FUJIAN SAN FENG FOOTWEAR CO.,LTD",FOOTWEAR,NIKE,College,"NO. 399, CHENGMEN STREET, CHENGMEN TOWN, CANGSHAN DISTRICTS",FUZHOU,FUJIAN,350018,CHINA,Greater China,4200,3600,78,0,Dillon Cao,86-0591-83497668,86-0591-83497978,Dillon.Cao@fengtay.com,,188
FUJIAN SUNSHINE FOOTWEAR CO. LTD.,FOOTWEAR,NIKE,,"SHUANGYANG TOWN, LUOJIANG DISTRICT",QUANZHOU,FUJIAN,362012,CHINA,Greater China,1882,1776,61,0,,,,,,189
"FUJIAN WEILIN INDUSTRIAL CO., LTD",FOOTWEAR,CONVERSE,,"DONGTIAN VILLAGE, YANGXIA TOWN",FUQING,FUJIAN,350323,CHINA,Greater China,1348,1038,61,0,,,,,,190
"FUJIAN XIEFENG FOOTWEAR CO.,LTD.",FOOTWEAR,NIKE,College,"XI TIAN WEI TOWN,LICHENG DISTRIC",PUTIAN,FUJIAN,351131,CHINA,Greater China,7633,6674,75,0,Felix Zhou,86-594-289-4210,86-594-289-3130,Felix.zhou@fengtay.com,,191
"FUQING TUNTEX GARMENT, CO. LTD (MDC)",APPAREL,NIKE,,"RONGQIAO INDUCTRIAL ZONE, QUINGHUNG RD",FUQING,FUJIAN,350301,CHINA,Greater China,245,175,80,0,,,,,,192
FUSHENG,EQUIPMENT,NIKE,,NO. 9 HSING-CHUNG ST.,TAOYUAN CITY,T'AI-WAN,330,TAIWAN,Greater China,779,390,21,61.5,,,,,,193
"FUTURE GARMENT CO., LTD",APPAREL,NIKE,,"211/18-26, NONSEE, CHONGNONSEE",BANGKOK,BANGKOK METROPOLIS,10120,THAILAND,Emerging Markets,476,329,64,74.8,,,,,"HI TECH APPAREL CO LTD, BRANCH 70, HI-TECH  CHAIYAPHUM  APPAREL CO.,LTD., Hi-Tech Apparel Co. Ltd.(Soi91), Hi-Tech Chaiyaphum Apparel Co.,Ltd.",194
GC INDUSTRIA E COMERCIO TERMOTRANSFERIVEIS LTDA.,FOOTWEAR,CONVERSE,,"AV. ALOISIO GONZAGA DE LIMA, 1561, BAIRRO DOIS DE AGOSTO",BAIRRO DOIS DE AGOSTO,CEARA,0,BRAZIL,Emerging Markets,6,5,1,0,,,,,,195
GCOLLOR (SCREEN PRINTER),FOOTWEAR,CONVERSE,,"RUA VICTOR HUGO KUNZ, 2300 BAIRRO SAO JORGE",NOVO HAMBURGO,RS,93534-000 - CNPJ 06.144/0001-19,BRAZIL,Emerging Markets,43,39,22,0,,,,,,196
GELAL CORAP SAN. VE TIC. A.S.,EQUIPMENT,"NIKE, CONVERSE",,AKÃ‡ABURGAZ MAH.117.SOK.NO:2 ESENYURT,ISTANBUL,ISTANBUL,34500,TURKEY,Central and Eastern Europe,799,723,53,0,,,,,,197
GIBOR CORAP,EQUIPMENT,NIKE,,CILIMLI TOPCULAR KOYU D- 100 KARAYOLU UZERI,DUZCE,DUZCE,,TURKEY,Central and Eastern Europe,400,369,55,0,,,,,,198
GILDAN ACTIVEWEAR SAN MIGUEL S.A.,APPAREL,NIKE,,"PARQUE INDUSTRIAL ZOLI AMERICA, CARRETERA A PUERTO CORTES KM 6,",PUERTO CORTES,SANTA BARBARA,0,HONDURAS,Emerging Markets,6221,5453,60,0,,,,,,199
GILDAN ACTIVEWEAR SRL (RN4),APPAREL,NIKE,,"ZIP SAN MIGUEL VI, RIO NANCE",CHOLOMA,YORO,0,HONDURAS,Emerging Markets,2965,2710,21,0,,,,,,200
GILDAN APPAREL USA INC. (VILLANUEVA),APPAREL,NIKE,,"ZIP VILLANUEVA, BUILDING (6, 9-3)",VILLANUEVA,COLON,0,HONDURAS,Emerging Markets,4637,4308,58,0,,,,,,201
GOLDEN VERTEX SDN BHD,APPAREL,"NIKE, CONVERSE, HURLEY",,"18, JALAN KILANG",BATU PAHAT,JOHOR,83010,MALAYSIA,Emerging Markets,313,260,21,92.3,,,,,,202
GORDON AND SMITH,APPAREL,HURLEY,,"RUA BELEM , 212",SÃƒO PAULO,SP,,BRAZIL,Emerging Markets,61,51,70,0,,,,,,203
GREEN DISTRIBUTION,APPAREL,"NIKE, CONVERSE, HURLEY",,565 WINDSOR  DRIVE,SECAUCUS,NEW JERSEY,7094,USA,North America,247,224,50,0,,,,,,204
GREEN MODE SNC,APPAREL,CONVERSE,,"VIA ARTIGIANATO 128,",S.STEFANO ZIMELLA (VR),,37040,ITALY,Western Europe,16,12,90,0,,,,,,205
GREEN VINA,APPAREL,NIKE,College,BINH DANG  - BINH HOA,THUAN AN,BINH DUONG,999999,VIETNAM,Emerging Markets,2302,2224,81,0,Man Soo Park,84-988590011,,jpark@greenvina.com,,206
"GTS GOLF (CHINA), LLC",EQUIPMENT,NIKE,College,1ST KUIQING ROAD,DONGGUAN CITY,GUANGDONG,523660,CHINA,Greater China,315,293,34,0,Joan Tsao,86 769 87336186,86 769 87336183,joan@gtsgolf.com,,207
"GUANG YANG SPORTING CO., LTD",EQUIPMENT,NIKE,,"SHAN TANG INDUSTRIAL ZONE, DI DI VILLAGE, SHAN TANG TOWN, QING XIN COUNTY",QING YUAN,GUANGDONG,511800,CHINA,Greater China,906,719,83,0,,,,,,208
GUANGDONG ESQUEL TEXTILES CO. LTD. YANG MEI GARMENT FACTORY,APPAREL,NIKE,,"YANGMEI TOWN, INDUSTRIAL DEVELOPMENT ZONE, GAOMING DISTRICT",FOSHAN,GUANGDONG,528515,CHINA,Greater China,6360,6061,78,47.7,,,,,,209
GUANGDONG ESQUEL TEXTILES COMPANY LTD,APPAREL,NIKE,College,"CANG JIANG EXPORTS PROCESSING ZONE, GAOMING DISTRICT",FOSHAN,GUANGDONG,528500,CHINA,Greater China,4291,3691,81,0,dodo du,0757-88881000-6620,0757-88881910,dud@esquel.com," Golf Sales West, Inc.",210
GUANGZHOU NANSHA DONGYONG XIN GE SHOE FACTORY,FOOTWEAR,CONVERSE,,"NO. 11 LIYE ROAD, GUANTAN VILLAGE, DONGYONG TOWN, NANSHA DISTRICT, GUANGZHOU, GUANGDONG",GUANGZHOU,GUANGDONG,511453,CHINA,Greater China,405,287,75,0,,,,,JiaHong Laundry(Zhongshan) Ltd,211
GUERILLA GRAFFIX,APPAREL,NIKE,College,1902 BROADWAY ST,ROCKFORD,ILLINOIS,61104,USA,North America,69,58,60,0,John & Daniel Smithline,815-227-5393,815-227-0907,guerillagraffix@ameritech.net,,212
H&H SCREENING & GRAPHICS INC.,APPAREL,NIKE,,2388 LA MIRANDA DR.,VISTA,CALIFORNIA,92081,USA,North America,62,50,60,0,,,,,H&H Screening & Graphics Inc.,213
"HAIYAN GOLDEN GATE SOCKS INDUSTRY CO., LTD",EQUIPMENT,CONVERSE,,"TONG YUAN TOWN, ZHANG QIAO VILLAGE",HAIYAN,ZHEJIANG,,CHINA,Greater China,55,38,65,0,,,,,,214
"HANOH OPTICAL CO,.LTD",EQUIPMENT,NIKE,,598-2 CHUNPYUNG-RI,EUMSUNG-GUN,NORTH CHUNGCHEONG,369-832,SOUTH KOREA,Emerging Markets,31,17,35,11.8,,,,,,215
HANSAE TG CO LTD,APPAREL,"NIKE, CONVERSE, HURLEY",,LOT BILL AND LOT BV,"CHAU THANH, TIEN GIANG",TIEN GIANG,82000,VIETNAM,Emerging Markets,3806,3576,92,0,,,,,,216
"HANSAE VIET NAM CO., LTD.",APPAREL,NIKE,College,"KM 21 TRANS ASIA SUPERHIGHWAY, LOT 2, TAY  BAC CU CHI INDUSTRIAL ZONE",HO CHI MINH,HO CHI MINH,84,VIETNAM,Emerging Markets,9752,5687,80,0,Cho Sung Jae,84-8-38924801,84-8-38924800,sjcho123@hansae.com,"I.S Vietnam Co., Ltd, S.J VINA CORPORATION",217
"HAOMENG INDUSTRY SHANGHAI CO., LTD",APPAREL,NIKE,,"NO 6688 SONGZE ROAD QINGPU INDUSTRIAL, SHANGHAI, CHINA",SHANGHAI,SHANGHAI,201706,CHINA,Greater China,33,25,57,0,,,,,,218
HAPCO SCREEN PRINTING,APPAREL,NIKE,,546-548 ELM STREET,"EMMAUS,",PENNSYLVANIA,18049,USA,North America,23,19,37,0,,,,,,219
HARRISS & COVINGTON,EQUIPMENT,NIKE,,1250 HICKORY CHAPEL ROAD,HIGH POINT,NORTH CAROLINA,27260,USA,North America,272,242,68,0,,,,,,220
HAYAFUJI,FOOTWEAR,NIKE,,"96-9, HARADANIINUI-CHO, OOKITAYAMA",KYOTO-SHI,KYOTO-FU,603-8487,JAPAN,Japan,5,4,25,0,,,,,,221
"HB SPORTS - NEW HOLLAND LINGERIE DE HONDURAS, S.A.",APPAREL,NIKE,College,"27 CALLE 1 Y 3 AVENIDA, BARRIO LA PAZ",SAN PEDRO SULA,CORTES,CA,HONDURAS,Emerging Markets,2486,2166,70,0.6,Mr. Warren Hackman,(717)3542306,(717)3542461,whackman@nhlapparel.net,,222
HELA CLOTHING (PVT)LTD,APPAREL,NIKE,,"ROSIMER ESTATE, KANDY ROAD, KALAGEDIHENA, THIHARIYA",THIHARIYA,WESTERN PROVINCE,GQ 11875,SRI LANKA,Emerging Markets,957,456,65,0,,,,,,223
